ID,price,yearBuilt,livingArea,bathrooms,bedrooms,parking,garageSpaces,hasGarage,pool,spa
1,169900,1985,2302,3,4,0,0,0,0,0
2,159000,1910,2864,2,4,0,0,0,0,0
3,45000,1945,728,1,1,1,0,0,0,0
4,165000,1971,1620,2,2,0,0,0,0,0
5,173500,1980,1512,2,3,0,0,0,0,0
6,349900,1999,2309,2,3,1,0,0,1,0
7,99500,1960,1383,1,3,0,0,0,0,0
8,129500,1940,1874,2,3,0,0,0,0,0
9,159995,1922,1838,3,3,0,0,0,1,0
10,59900,1967,1300,1,3,0,0,0,0,0
11,199500,2000,1914,2,3,0,0,0,1,0
12,52900,1964,952,1,2,0,0,0,0,0
13,259900,1979,2729,3,3,1,0,0,0,0
14,175000,1985,1980,2,3,0,0,0,0,0
15,798000,2003,7282,8,7,1,3,0,1,1
16,350000,1974,1282,2,2,1,0,1,0,0
17,220000,2021,1400,2,3,1,0,1,0,0
18,312500,2008,2173,3,3,0,0,1,0,0
19,364900,2020,2713,3,4,0,0,1,0,0
20,349900,2021,2377,3,4,0,0,1,0,0
21,440000,2005,2212,2,3,1,0,1,0,0
22,1300000,2001,7208,7,4,1,0,1,1,1
23,477000,1950,1755,2,3,1,0,0,0,0
24,296000,1960,1443,2,3,1,0,0,0,0
25,369900,2002,2448,3,3,1,2,1,0,0
26,1200000,2007,8618,6,5,1,0,1,1,1
27,550000,1978,2842,4,4,1,0,1,0,0
28,1179900,2016,10970,5,4,1,3,1,0,0
29,379900,2003,2396,2,3,1,2,1,0,0
30,325000,1980,1065,2,2,1,0,1,0,0
31,109000,1983,884,1,3,0,0,1,0,0
32,299999,2005,2113,3,3,1,0,1,0,1
33,250000,2007,1608,2,3,1,1,1,0,0
34,174500,1953,1547,2,3,0,0,0,0,0
35,587000,1972,2648,2,3,1,0,1,0,1
36,280000,2008,2436,3,3,1,0,1,0,0
37,299900,1960,1758,2,3,1,0,0,0,0
38,350000,2001,1906,3,3,1,1,1,0,0
39,425000,1968,2197,2,3,1,2,1,0,0
40,475000,1959,2632,3,5,1,0,0,1,0
41,574900,1991,3822,4,4,1,2,1,0,0
42,536068,2021,2295,4,4,1,0,1,0,0
43,250000,1955,1165,1,3,0,0,0,0,0
44,799900,2017,3304,5,5,1,2,1,0,0
45,484000,1999,2657,3,3,1,2,1,0,0
46,379000,1985,1900,3,4,1,0,0,0,0
47,399900,1969,2097,2,4,1,0,0,0,0
48,575000,1988,3234,4,4,1,5,1,1,0
49,499900,1969,2718,3,4,1,2,1,0,0
50,839900,2013,4857,5,5,1,3,1,0,0
51,520000,1965,1674,4,3,1,2,1,0,0
52,537049,2021,2295,4,4,1,2,1,0,0
53,415000,1966,1762,3,3,1,2,1,0,0
54,575000,1999,3955,3,4,1,2,1,0,0
55,423000,1999,1700,3,3,1,2,1,0,0
56,550364,2021,2524,4,4,1,2,1,0,0
57,532343,2021,2524,4,4,1,2,1,0,0
58,533264,2021,2524,4,4,1,2,1,0,0
59,537112,2021,2524,4,4,1,2,1,0,0
60,695000,1851,5028,7,6,0,0,0,0,1
61,145000,1963,1483,2,3,1,0,1,0,0
62,375000,1950,1664,3,3,0,0,0,0,1
63,369900,1953,1755,2,4,1,0,0,0,0
64,302999,1952,1134,2,3,0,0,1,0,0
65,235000,2004,1761,3,4,1,2,1,0,0
66,309900,1936,1512,2,4,1,0,0,0,0
67,314999,1964,1939,2,3,1,0,1,0,0
68,350000,1962,4300,3,8,1,0,0,0,0
69,229900,1996,1918,3,4,1,2,1,0,0
70,299900,1955,1360,2,3,1,0,0,0,0
71,249000,1993,1672,4,4,1,2,1,1,1
72,1800,1951,1305,2,3,1,0,0,0,0
73,210000,1961,1399,2,3,1,2,1,0,0
74,280000,1999,1572,2,3,0,0,1,0,0
75,700000,1937,2076,3,3,1,0,0,0,0
76,345000,1962,1801,2,4,1,0,0,0,0
77,340000,1946,1128,2,3,0,0,0,0,0
78,350000,1959,1614,2,3,1,1,1,0,0
79,248000,1906,1200,1,3,0,0,0,0,0
80,250000,1989,1559,2,3,1,0,1,0,0
81,319900,1969,3034,2,3,0,0,1,0,0
82,275000,2003,1864,2,3,1,2,1,0,0
83,369000,1996,3127,4,3,1,0,1,0,1
84,299900,2005,2075,2,3,1,0,1,0,0
85,215000,2004,1784,3,3,1,0,1,0,0
86,139900,1980,1092,2,0,1,0,0,0,0
87,379900,1971,4062,4,4,1,0,1,0,0
88,299900,1962,3350,3,4,1,0,0,0,0
89,199900,1976,1440,2,4,1,0,0,0,0
90,229000,1979,1764,2,3,1,0,1,0,0
91,350000,2005,2343,3,4,1,0,1,0,1
92,204900,2004,1162,2,2,0,0,0,0,0
93,269900,1987,1500,2,3,1,0,0,0,0
94,289900,1986,2672,3,4,1,0,1,0,0
95,425000,2001,3956,5,5,1,0,1,0,1
96,235000,1988,1606,2,3,1,0,1,0,0
97,599000,1987,5660,6,6,1,0,1,0,0
98,284990,2021,1756,3,4,1,0,1,0,0
99,1198500,2003,7130,6,4,1,0,1,0,1
100,599999,1995,1560,2,4,0,0,0,0,1
101,599000,2010,1362,2,2,0,0,0,0,1
102,799900,2013,2758,3,1,0,0,1,0,0
103,575000,1997,1000,2,2,1,0,0,1,0
104,779900,2007,4000,3,4,1,2,1,0,0
105,169800,1963,800,1,2,0,0,0,0,0
106,1450000,2015,3200,4,5,1,3,1,0,0
107,1850000,2001,4535,3,4,0,0,1,0,0
108,899000,2000,3120,4,3,0,0,1,0,1
109,395000,2008,2260,4,3,1,2,1,0,0
110,535000,1960,2419,3,5,1,0,0,0,0
111,439900,1963,3791,4,8,0,0,0,0,0
112,440000,1957,2174,3,4,0,0,0,0,0
113,300000,2006,1429,3,3,0,0,1,0,0
114,249000,1984,1125,2,3,0,0,0,0,0
115,449900,2007,2605,4,4,1,2,1,0,0
116,215000,1984,1408,3,2,1,0,0,0,0
117,446900,1959,2100,3,3,1,0,0,0,0
118,445000,1996,2599,3,4,1,2,1,0,1
119,415000,1985,2117,3,3,1,2,1,0,0
120,165000,1984,1152,2,2,1,0,0,0,0
121,325000,2018,1736,3,2,1,1,1,0,0
122,296000,1962,1400,2,3,0,0,0,0,0
123,695000,1968,4200,4,7,1,2,1,0,0
124,470000,1992,2136,3,3,1,2,1,0,0
125,319000,1969,1498,2,4,1,2,1,0,0
126,375000,1982,1898,3,3,1,2,1,0,0
127,450000,1955,1219,6,7,1,0,0,0,0
128,450000,1998,2439,3,4,1,2,1,0,0
129,445000,1998,1881,3,3,1,2,1,0,0
130,495000,1978,2847,4,4,1,2,1,0,1
131,348000,1965,1438,3,3,1,1,1,0,0
132,77000,2001,1281,2,3,0,0,0,0,0
133,315000,2015,2479,3,5,1,0,1,0,0
134,347900,2002,2811,3,4,1,0,1,1,0
135,189900,1997,1861,2,3,1,0,1,0,0
136,189900,1997,1861,2,3,1,0,1,0,0
137,269900,2009,2411,3,4,1,0,1,0,0
138,179900,2004,1641,2,3,1,0,1,0,1
139,424000,2017,3032,3,3,1,0,1,1,1
140,232900,2021,1640,2,3,1,0,1,0,0
141,360000,2007,2965,3,4,1,0,1,1,1
142,194900,1956,1242,3,4,0,0,0,0,0
143,335000,1986,2552,3,4,1,0,1,0,0
144,210000,1992,1977,2,3,0,0,0,0,0
145,220000,1995,2145,2,3,0,0,0,0,0
146,287500,1981,3033,2,3,1,0,1,0,0
147,94000,1989,1241,2,2,0,0,0,0,0
148,489900,2004,4145,4,5,1,0,1,1,1
149,275000,1980,1888,2,3,0,0,0,0,0
150,350000,1981,1953,2,3,1,2,1,0,0
151,285000,1982,1700,3,2,1,2,1,0,0
152,395000,1984,3064,4,5,1,2,1,1,1
153,389900,2007,2713,4,4,1,0,1,0,0
154,389900,2007,2713,4,4,1,2,1,0,0
155,400000,2007,2243,3,3,1,2,1,0,0
156,219900,1986,1194,2,3,1,2,1,0,0
157,199900,2005,1214,3,2,1,0,0,0,0
158,293000,1984,1032,3,4,0,0,0,0,0
159,500000,1998,3161,4,4,1,2,1,0,0
160,415000,2007,1716,3,3,1,2,1,0,0
161,290000,1983,1856,4,3,0,0,0,0,0
162,369900,2005,2226,4,3,1,2,1,0,0
163,500000,1996,3776,4,5,1,2,1,0,1
164,235000,2001,1296,3,2,1,0,0,0,0
165,300000,2001,2099,4,4,1,2,1,0,0
166,510000,2020,2417,4,4,1,2,1,0,0
167,275000,2005,2345,3,2,1,1,1,1,0
168,249900,1968,1787,2,3,1,0,1,0,0
169,378500,2003,3391,4,4,1,2,1,0,0
170,363290,2021,2707,3,4,1,2,1,0,0
171,159900,2004,1523,2,3,1,0,1,0,0
172,60000,1950,1240,1,3,1,0,0,0,0
173,399000,1982,3763,4,3,0,0,1,0,0
174,40700,1910,1304,1,2,1,0,0,0,0
175,374900,2021,3107,3,4,1,0,1,0,0
176,69900,1940,757,1,2,1,0,0,0,0
177,279900,1988,1296,3,2,1,0,0,0,0
178,749900,2008,2330,3,4,1,0,1,0,0
179,599900,1968,3459,3,4,1,0,1,0,0
180,239900,1950,987,1,2,1,0,0,0,0
181,300000,1945,1296,1,2,1,0,1,0,0
182,430000,1965,1922,3,3,1,0,0,0,0
183,339000,1957,2125,3,4,1,0,1,0,0
184,374000,1965,1347,2,2,1,0,1,0,0
185,200000,1960,712,1,2,1,0,0,0,0
186,349900,2006,1430,2,3,1,0,0,0,0
187,664000,1989,2921,3,3,1,0,1,0,0
188,165000,1989,1536,2,4,1,0,0,0,0
189,319990,1930,1240,2,3,1,0,0,0,0
190,915000,1948,4919,6,7,1,0,0,0,0
191,700000,2017,2598,4,4,1,0,0,0,0
192,499900,1962,1983,2,3,1,0,1,0,0
193,405000,2020,1841,3,3,1,0,1,0,0
194,215000,1945,910,1,2,1,0,0,0,0
195,209900,1973,2188,3,4,1,0,0,1,0
